;user;task;system;success;issues_functional;issues_content;issues_comprehensibity;issues_presentation;task_minutes;task_seconds;issuesComment_functional;issuesComment_content;issuesComment_comprehensibility;issuesComment_presentation;easyToGetStarted;easyToDoTheTask;satisfactionPerTask;timePerTask;familiarWithTopic;whyRelevant;issues;feedbackB1[SQ001];feedbackB1[SQ002];feedbackB1[SQ003];feedbackB1[SQ004];feedbackB1[SQ005];feedbackB1[SQ006];feedbackB1[SQ007];feedbackB1[SQ008];feedbackB1[SQ009];feedbackB1[SQ010];feedbackB2[SQ001];feedbackB2[SQ002];feedbackB2[SQ003];feedbackB2[SQ004];feedbackB2[SQ005];feedbackB2[SQ006];feedbackB2[SQ007];feedbackB2[SQ008];feedbackB2[SQ009];feedbackB2[SQ010];searchExperience[SQ001];searchExperience[SQ002];searchExperience[SQ003];like;dislike;education[SQ001];education[SQ002];education[SQ003];education[SQ004];education[SQ005];education[SQ006];education[SQ007];education[SQ008];researchBackground[SQ001];researchBackground[SQ002];researchBackground[SQ003];researchBackground[SQ004];researchBackground[SQ005];searchUsage;exit_easyToLearn;exit_easyToUse;bestOverall;total_issues;SUS_Biodiv1;SUS_Biodiv2;task_full_time
0;1;1;2;2;;;;1;5;0;;;1.0;1.0;3;5;3;2;1;they contain the search terms;"negative: sorting index, relevance of the search (no terms highlighted)
positive: it finds the categories by itself";5;1;5;3;2;5;3;2;2;4;5;1;5;2;3;4;2;4;2;4;2;4;3;user friendly, quick, highights, the information, the basket;spelling, suggestions (sometimes the same thing with different writing style), filtering index is needing (relevance, date of pubication, database...);No;No;No;No;Yes;No;No;No;Yes;No;No;Yes;No;3;no difference;no difference;no difference;1.0;65.0;70.0;300
1;1;2;2;1;1;;;;5;0;1.0;;1.0;;2;2;2;3;1;include term fof the search;negative: spelling check, the relevance of the resuts?;5;1;5;3;2;5;3;2;2;4;5;1;5;2;3;4;2;4;2;4;2;4;3;user friendly, quick, highights, the information, the basket;spelling, suggestions (sometimes the same thing with different writing style), filtering index is needing (relevance, date of pubication, database...);No;No;No;No;Yes;No;No;No;Yes;No;No;Yes;No;3;no difference;no difference;no difference;1.0;65.0;70.0;300
2;1;3;2;2;1;;;;4;0;1.0;;;;4;5;4;4;1;they contain all terms;"positive: lot of results, quick, easy to find
negative: sorting index, page numbering at the bottom";5;1;5;3;2;5;3;2;2;4;5;1;5;2;3;4;2;4;2;4;2;4;3;user friendly, quick, highights, the information, the basket;spelling, suggestions (sometimes the same thing with different writing style), filtering index is needing (relevance, date of pubication, database...);No;No;No;No;Yes;No;No;No;Yes;No;No;Yes;No;3;no difference;no difference;no difference;1.0;65.0;70.0;240
3;1;4;1;1;;;;;5;0;;;;;5;5;5;5;1;All terms are mentionned;positive: highlight of the search term, AND or OR button;5;1;5;3;2;5;3;2;2;4;5;1;5;2;3;4;2;4;2;4;2;4;3;user friendly, quick, highights, the information, the basket;spelling, suggestions (sometimes the same thing with different writing style), filtering index is needing (relevance, date of pubication, database...);No;No;No;No;Yes;No;No;No;Yes;No;No;Yes;No;3;no difference;no difference;no difference;0.0;65.0;70.0;300
4;1;5;1;2;;1;;;2;50;1.0;;;;5;5;5;5;1;contain the search terms;"positive: quick
negative. capital or small letters matter";5;1;5;3;2;5;3;2;2;4;5;1;5;2;3;4;2;4;2;4;2;4;3;user friendly, quick, highights, the information, the basket;spelling, suggestions (sometimes the same thing with different writing style), filtering index is needing (relevance, date of pubication, database...);No;No;No;No;Yes;No;No;No;Yes;No;No;Yes;No;3;no difference;no difference;no difference;1.0;65.0;70.0;170
5;1;6;2;2;;;;;2;0;;;;;5;5;5;5;1;all terms searched;"positive: user-friendly

";5;1;5;3;2;5;3;2;2;4;5;1;5;2;3;4;2;4;2;4;2;4;3;user friendly, quick, highights, the information, the basket;spelling, suggestions (sometimes the same thing with different writing style), filtering index is needing (relevance, date of pubication, database...);No;No;No;No;Yes;No;No;No;Yes;No;No;Yes;No;3;no difference;no difference;no difference;0.0;65.0;70.0;120
6;1;7;1;1;;;;1;3;40;;;;;5;5;5;5;1;Contain all search terms;positive: the basket is kept in different searches;5;1;5;3;2;5;3;2;2;4;5;1;5;2;3;4;2;4;2;4;2;4;3;user friendly, quick, highights, the information, the basket;spelling, suggestions (sometimes the same thing with different writing style), filtering index is needing (relevance, date of pubication, database...);No;No;No;No;Yes;No;No;No;Yes;No;No;Yes;No;3;no difference;no difference;no difference;1.0;65.0;70.0;220
7;1;8;1;1;1;;;;3;0;1.0;;;;3;2;2;5;1;contain some of the term;"negative: there is no sorting indx ""relevance, publication date...."", somtime th relevance is not so obvious";5;1;5;3;2;5;3;2;2;4;5;1;5;2;3;4;2;4;2;4;2;4;3;user friendly, quick, highights, the information, the basket;spelling, suggestions (sometimes the same thing with different writing style), filtering index is needing (relevance, date of pubication, database...);No;No;No;No;Yes;No;No;No;Yes;No;No;Yes;No;3;no difference;no difference;no difference;1.0;65.0;70.0;180
8;2;1;1;2;;;;;2;45;;;1.0;;3;2;3;3;2;Sparked interest to read on the topic;Many hits, unclear sorting;4;3;4;3;2;4;2;3;5;1;5;1;4;2;2;4;2;4;4;2;4;4;3;"First one allows more structured queries if one is not familiar with writing such queries into a single search line; else the second has the advantage of free search and search structure, which is more useful if a predefined category may not fit";First system requires to think in predefined boxes that in some cases are self-explained, in others sometimes more difficult to match with desired search terms, requires some learning curve;No;No;No;No;No;No;Yes;No;Yes;No;No;Yes;No;5;Biodiv 2;Biodiv 2;Biodiv 2;0.0;72.5;80.0;165
9;2;2;2;1;;;;;3;40;;;;;4;3;4;3;2;Only dataset that specifically corresponded to search terms;Lack of highlighting even in longer texts was helpful to indicate non-relevant hits;4;3;4;3;2;4;2;3;5;1;5;1;4;2;2;4;2;4;4;2;4;4;3;"First one allows more structured queries if one is not familiar with writing such queries into a single search line; else the second has the advantage of free search and search structure, which is more useful if a predefined category may not fit";First system requires to think in predefined boxes that in some cases are self-explained, in others sometimes more difficult to match with desired search terms, requires some learning curve;No;No;No;No;No;No;Yes;No;Yes;No;No;Yes;No;5;Biodiv 2;Biodiv 2;Biodiv 2;0.0;72.5;80.0;220
10;2;3;1;2;;;;;4;30;;;;;4;4;4;4;3;Breiter biologischer Kontext;null;4;3;4;3;2;4;2;3;5;1;5;1;4;2;2;4;2;4;4;2;4;4;3;"First one allows more structured queries if one is not familiar with writing such queries into a single search line; else the second has the advantage of free search and search structure, which is more useful if a predefined category may not fit";First system requires to think in predefined boxes that in some cases are self-explained, in others sometimes more difficult to match with desired search terms, requires some learning curve;No;No;No;No;No;No;Yes;No;Yes;No;No;Yes;No;5;Biodiv 2;Biodiv 2;Biodiv 2;0.0;72.5;80.0;270
11;2;4;2;2;;;;;4;0;;;;;3;3;4;4;1;Titles matched search expectations;Highlight was very helpful in selecting datasets;4;3;4;3;2;4;2;3;5;1;5;1;4;2;2;4;2;4;4;2;4;4;3;"First one allows more structured queries if one is not familiar with writing such queries into a single search line; else the second has the advantage of free search and search structure, which is more useful if a predefined category may not fit";First system requires to think in predefined boxes that in some cases are self-explained, in others sometimes more difficult to match with desired search terms, requires some learning curve;No;No;No;No;No;No;Yes;No;Yes;No;No;Yes;No;5;Biodiv 2;Biodiv 2;Biodiv 2;0.0;72.5;80.0;240
12;2;5;1;2;1;;;;4;40;1.0;;;;3;3;3;3;2;Broader ecological question;Sequence of results after OR search may require paging and scrolling;4;3;4;3;2;4;2;3;5;1;5;1;4;2;2;4;2;4;4;2;4;4;3;"First one allows more structured queries if one is not familiar with writing such queries into a single search line; else the second has the advantage of free search and search structure, which is more useful if a predefined category may not fit";First system requires to think in predefined boxes that in some cases are self-explained, in others sometimes more difficult to match with desired search terms, requires some learning curve;No;No;No;No;No;No;Yes;No;Yes;No;No;Yes;No;5;Biodiv 2;Biodiv 2;Biodiv 2;1.0;72.5;80.0;280
13;2;6;2;2;;;;;2;58;;;;;4;4;4;4;2;Titles and text informative (many other of the hits with uninformative titles or text);Again highlight was very helpful and indicative of potentially useful hits;4;3;4;3;2;4;2;3;5;1;5;1;4;2;2;4;2;4;4;2;4;4;3;"First one allows more structured queries if one is not familiar with writing such queries into a single search line; else the second has the advantage of free search and search structure, which is more useful if a predefined category may not fit";First system requires to think in predefined boxes that in some cases are self-explained, in others sometimes more difficult to match with desired search terms, requires some learning curve;No;No;No;No;No;No;Yes;No;Yes;No;No;Yes;No;5;Biodiv 2;Biodiv 2;Biodiv 2;0.0;72.5;80.0;178
14;2;7;1;1;;;;;2;44;;1.0;;;4;5;5;5;3;Only one that corresponded to search terms among several hits;Search returned unrelated results, combination of scientific and common names for search terms was most successful;4;3;4;3;2;4;2;3;5;1;5;1;4;2;2;4;2;4;4;2;4;4;3;"First one allows more structured queries if one is not familiar with writing such queries into a single search line; else the second has the advantage of free search and search structure, which is more useful if a predefined category may not fit";First system requires to think in predefined boxes that in some cases are self-explained, in others sometimes more difficult to match with desired search terms, requires some learning curve;No;No;No;No;No;No;Yes;No;Yes;No;No;Yes;No;5;Biodiv 2;Biodiv 2;Biodiv 2;0.0;72.5;80.0;164
15;2;8;2;2;;;;;2;30;;;;;4;4;5;4;2;Geographically broad studies, introduction into subject, also metagenomic approaches;null;4;3;4;3;2;4;2;3;5;1;5;1;4;2;2;4;2;4;4;2;4;4;3;"First one allows more structured queries if one is not familiar with writing such queries into a single search line; else the second has the advantage of free search and search structure, which is more useful if a predefined category may not fit";First system requires to think in predefined boxes that in some cases are self-explained, in others sometimes more difficult to match with desired search terms, requires some learning curve;No;No;No;No;No;No;Yes;No;Yes;No;No;Yes;No;5;Biodiv 2;Biodiv 2;Biodiv 2;0.0;72.5;80.0;150
16;3;1;1;2;;;;1;4;6;;;;1.0;4;3;2;3;1;Datasets relevant because it contains the search terms;The terms found in the results section are not highlighted.;4;2;5;3;3;3;2;4;5;2;4;2;4;2;3;4;3;4;4;2;4;2;4;"BIODIV1: more category for classification of search terms. Have a better feeling that it will provide relevant datasets.
BIODIV2: simple, easy to use.";"BIODIV1: The Quality and The Materials are not very necessary.
BIODIV 2: the result is broader and somehow make more difficult to select the relevant datasets.";No;No;No;Yes;No;No;No;No;No;No;Yes;Yes;No;2;Biodiv 2;Biodiv 1;Biodiv 1;1.0;72.5;70.0;246
17;3;2;2;1;;;;;4;59;;;;;4;4;3;4;3;The title, or key words, or description contain my search terms;null;4;2;5;3;3;3;2;4;5;2;4;2;4;2;3;4;3;4;4;2;4;2;4;"BIODIV1: more category for classification of search terms. Have a better feeling that it will provide relevant datasets.
BIODIV2: simple, easy to use.";"BIODIV1: The Quality and The Materials are not very necessary.
BIODIV 2: the result is broader and somehow make more difficult to select the relevant datasets.";No;No;No;Yes;No;No;No;No;No;No;Yes;Yes;No;2;Biodiv 2;Biodiv 1;Biodiv 1;0.0;72.5;70.0;299
18;3;3;1;2;;1;;;3;9;1.0;;;;4;5;3;4;4;it contains my search terms;The filter function is missing for data archive;4;2;5;3;3;3;2;4;5;2;4;2;4;2;3;4;3;4;4;2;4;2;4;"BIODIV1: more category for classification of search terms. Have a better feeling that it will provide relevant datasets.
BIODIV2: simple, easy to use.";"BIODIV1: The Quality and The Materials are not very necessary.
BIODIV 2: the result is broader and somehow make more difficult to select the relevant datasets.";No;No;No;Yes;No;No;No;No;No;No;Yes;Yes;No;2;Biodiv 2;Biodiv 1;Biodiv 1;1.0;72.5;70.0;189
19;3;4;1;2;;;;;3;2;;;;;3;4;4;4;2;"it contains my search tems
the 1st priority search term comes first";null;4;2;5;3;3;3;2;4;5;2;4;2;4;2;3;4;3;4;4;2;4;2;4;"BIODIV1: more category for classification of search terms. Have a better feeling that it will provide relevant datasets.
BIODIV2: simple, easy to use.";"BIODIV1: The Quality and The Materials are not very necessary.
BIODIV 2: the result is broader and somehow make more difficult to select the relevant datasets.";No;No;No;Yes;No;No;No;No;No;No;Yes;Yes;No;2;Biodiv 2;Biodiv 1;Biodiv 1;0.0;72.5;70.0;182
20;3;5;2;2;;;;;4;26;;;;;4;4;3;4;3;Relevant: the keywords and descriptions contain the search terms;null;4;2;5;3;3;3;2;4;5;2;4;2;4;2;3;4;3;4;4;2;4;2;4;"BIODIV1: more category for classification of search terms. Have a better feeling that it will provide relevant datasets.
BIODIV2: simple, easy to use.";"BIODIV1: The Quality and The Materials are not very necessary.
BIODIV 2: the result is broader and somehow make more difficult to select the relevant datasets.";No;No;No;Yes;No;No;No;No;No;No;Yes;Yes;No;2;Biodiv 2;Biodiv 1;Biodiv 1;0.0;72.5;70.0;266
