index,user,task,system,success,issues_functional,issues_content,issues_comprehensibity,issues_presentation,task_minutes,task_seconds,issuesComment_functional,issuesComment_content,issuesComment_comprehensibility,issuesComment_presentation
0,1,1,2,2, , , ,1,5,0,,,1.0,1.0
1,1,2,2,1,1, , , ,5,0,1.0,,1.0,
2,1,3,2,2,1, , , ,4,0,1.0,,,
3,1,4,1,1, , , , ,5,0,,,,
4,1,5,1,2, ,1, , ,2,50,1.0,,,
5,1,6,2,2, , , , ,2,0,,,,
6,1,7,1,1,, , ,1,3,40,,,,
7,1,8,1,1,1, , , ,3,0,1.0,,,
8,2,1,1,2,,,,,2,45,,,1.0,
9,2,2,2,1,,,,,3,40,,,,
10,2,3,1,2,,,,,4,30,,,,
11,2,4,2,2,,,,,4,0,,,,
12,2,5,1,2,1,,,,4,40,1.0,,,
13,2,6,2,2,,,,,2,58,,,,
14,2,7,1,1,,,,,2,44,,1.0,,
15,2,8,2,2,,,,,2,30,,,,
16,3,1,1,2,,,,1,4,6,,,,1.0
17,3,2,2,1,,,,,4,59,,,,
18,3,3,1,2,,1,,,3,9,1.0,,,
19,3,4,1,2,,,,,3,2,,,,
20,3,5,2,2,,,,,4,26,,,,
21,3,6,1,2,,,,,2,42,,,,
22,3,7,2,1,,,,,2,36,,,,
23,3,8,2,2,,,,,1,1,,,,
24,4,1,2,2,1,,,,4,50,,,,
25,4,2,1,0,1,,,,5,0,,,,
26,4,3,1,1,,,,,5,0,,1.0,,
27,4,4,2,1,,,,1,5,0,,,,
28,4,5,1,2,1,,,,5,0,,,,
29,4,6,1,1,1,,,,3,30,,,,
30,4,7,2,1,,,,,3,0,,1.0,,
31,4,8,2,1,,,,,4,50,,,,
32,5,1,1,2,,,,,2,50,,,1.0,
33,5,2,2,2,,,,,4,55,,1.0,,
34,5,3,1,0,1,,,,5,0,,1.0,,
35,5,4,2,1,,,,,5,0,,,1.0,
36,5,5,1,2,,,,,1,40,,,,
37,5,6,2,2,,,,,4,40,,,1.0,
38,5,7,2,1,,,,,5,0,,,,
39,5,8,1,2,1,,,,4,20,,,,
40,6,1,1,2,1,,,,3,40,1.0,,,
41,6,2,2,2,,,,1,4,45,,,,1.0
42,6,3,2,2,1,1,0,0,4,10,,1.0,,1.0
43,6,4,2,2,1,0,0,0,3,5,1.0,,,
44,6,5,1,2,1,,,,4,50,,,,
45,6,6,1,2,1,,,,4,45,,,,
46,6,7,1,1,,,1,,5,0,,1.0,,
47,6,8,2,2,1,,,,4,0,,,,
48,7,1,1,2,,,,,2,30,,,,
49,7,2,2,1,1,,,,5,0,,,,
50,7,3,2,2,,,,,1,45,,,,
51,7,4,2,2,,,,,2,10,,,,
52,7,5,2,2,,,,,2,35,,,,
53,7,6,1,2,,,,,2,20,,,,
54,7,7,1,0,,,,,3,20,,,,
55,7,8,1,2,,,,,3,15,,,,
56,8,1,2,2,,,,,0,35,,,,
57,8,2,2,2,,1,,,3,45,,1.0,,
58,8,3,1,1,,,,,5,0,,1.0,,
59,8,4,1,2,1,,,,3,35,,,,
60,8,5,2,2,,,,,1,0,,,,
61,8,6,1,2,,,,,2,10,,,,
62,8,7,1,1,,,,,3,30,,1.0,,
63,8,8,2,2,1,,,,3,4,,,,
64,9,1,1,2,,,,,3,30,,,,
65,9,2,1,1,,,,,5,0,,,,
66,9,3,1,2,,,1,,2,30,,,,
67,9,4,2,2,,1,,,2,30,,,,
68,9,5,2,2,,,,,2,40,,,,
69,9,6,1,2,,,,,4,15,,,,
70,9,7,2,1,,,,,5,0,,,,
71,9,8,2,2,,,,,2,35,,,,
72,10,1,2,2,,,,,5,0,,,,
73,10,2,1,1,1,,,,5,0,,,,
74,10,3,2,2,,,,,4,27,,,,
75,10,4,1,2,,,,,2,40,,,,
76,10,5,2,2,,,,,3,50,,,,
77,10,6,1,1,,,,,5,0,,,,
78,10,7,2,1,,,,,4,30,,,,
79,10,8,1,1,,,,,5,0,,,,
80,11,1,2,2,,,,1,4,30,,,1.0,
81,11,2,1,1,1,,,,5,0,,,,
82,11,3,2,2,,1,1,,3,40,,,,
83,11,4,2,2,,,,,1,50,,,,
84,11,5,1,2,,,,,1,30,,,,
85,11,6,2,2,,,,,0,40,,,,
86,11,7,1,1,,,,,5,0,,,,
87,11,8,1,2,,1,,,2,50,,,,
88,12,1,1,2,,,,1,1,15,,,,
89,12,2,2,2,1,1,,,5,0,,,,
90,12,3,2,2,,1,,,1,25,,,,
91,12,4,1,2,,,,1,3,5,,,,
92,12,5,2,2,,1,,,2,20,,,,
93,12,6,2,2,,,1,,0,35,,,,
94,12,7,1,1,1,,,,4,0,,,,
95,12,8,1,2,,,,,3,20,,,,
96,13,1,2,2,,,,1,4,15,,,1.0,
97,13,2,1,1,1,,,,5,0,1.0,,,
98,13,3,2,2,1,1,,,2,20,,1.0,,
99,13,4,1,2,,,,,5,0,,1.0,,
100,13,5,2,2,,,,,3,30,,,1.0,
101,13,6,1,2,,,1,,4,20,,,1.0,
102,13,7,1,1,,,,,4,0,,,,
103,13,8,2,2,,,,,4,30,,,1.0,
104,14,1,2,1,,,,,0,50,,,,
105,14,2,1,0,,,,,5,0,,,,
106,14,3,1,2,1,,,,1,3,,,,
107,14,4,1,1,1,,,,5,0,,,,
108,14,5,2,1,,,,,4,50,,,,
109,14,6,2,2,,,,,1,2,,,,
110,14,7,2,1,,,,,3,30,,,,
111,14,8,1,2,,,,,1,50,,,,
112,15,1,2,2,,,,,5,0,,,,
113,15,2,1,2,1,1,,,3,0,,,,
114,15,3,1,2,1,,,1,3,20,,1.0,,
115,15,4,1,0,,,,1,3,0,,,,
116,15,5,1,0,1,,,,5,0,,,,
117,15,6,2,1,1,,,,5,0,,,,
118,15,7,2,1,,,,,3,15,,,,
