label
Lepidoptera
unclassified Lepidoptera
Glossata
environmental samples <Lepidoptera>
Zeugloptera
Aglossata
Heterobathmiina
Lepitoptera incertae sedis
Lepidoptera sp. 001 PS-2011
Lepidoptera sp. 0013 PS-2011
Lepidoptera sp. 002 PS-2011
Lepidoptera sp. 003 PS-2011
Lepidoptera sp. 004 PS-2011
Lepidoptera sp. 005 PS-2011
Lepidoptera sp. 006 PS-2011
Lepidoptera sp. 007 PS-2011
Lepidoptera sp. 008 PS-2011
Lepidoptera sp. 009 PS-2011
Lepidoptera sp. 010 PS-2011
Lepidoptera sp. 011 PS-2011
Lepidoptera sp. 012 PS-2011
Lepidoptera sp. 0130 PS-2011
Lepidoptera sp. 014 PS-2011
Lepidoptera sp. 015 PS-2011
Lepidoptera sp. 016 PS-2011
Lepidoptera sp. 017 PS-2011
Lepidoptera sp. 018 PS-2011
Lepidoptera sp. 019 PS-2011
Lepidoptera sp. 020 PS-2011
Lepidoptera sp. 021 PS-2011
Lepidoptera sp. 022 PS-2011
Lepidoptera sp. 023 PS-2011
Lepidoptera sp. 024 PS-2011
Lepidoptera sp. 025 PS-2011
Lepidoptera sp. 026 PS-2011
Lepidoptera sp. 027 PS-2011
Lepidoptera sp. 028 PS-2011
Lepidoptera sp. 029 PS-2011
Lepidoptera sp. 030 PS-2011
Lepidoptera sp. 031 PS-2011
Lepidoptera sp. 032 PS-2011
Lepidoptera sp. 033 PS-2011
Lepidoptera sp. 034 PS-2011
Lepidoptera sp. 035 PS-2011
Lepidoptera sp. 036 PS-2011
Lepidoptera sp. 037 PS-2011
Lepidoptera sp. 038 PS-2011
Lepidoptera sp. 039 PS-2011
Lepidoptera sp. 040 PS-2011
Lepidoptera sp. 041 PS-2011
Lepidoptera sp. 042 PS-2011
Lepidoptera sp. 043 PS-2011
Lepidoptera sp. 044 PS-2011
Lepidoptera sp. 045 PS-2011
Lepidoptera sp. 046 PS-2011
Lepidoptera sp. 047 PS-2011
Lepidoptera sp. 048 PS-2011
Lepidoptera sp. 049 PS-2011
Lepidoptera sp. 050 PS-2011
Lepidoptera sp. 051 PS-2011
Lepidoptera sp. 052 PS-2011
Lepidoptera sp. 053 PS-2011
Lepidoptera sp. 054 PS-2011
Lepidoptera sp. 055 PS-2011
Lepidoptera sp. 056 PS-2011
Lepidoptera sp. 057 PS-2011
Lepidoptera sp. 058 PS-2011
Lepidoptera sp. 059 PS-2011
Lepidoptera sp. 060 PS-2011
Lepidoptera sp. 061 PS-2011
Lepidoptera sp. 062 PS-2011
Lepidoptera sp. 063 PS-2011
Lepidoptera sp. 064 PS-2011
Lepidoptera sp. 065 PS-2011
Lepidoptera sp. 066 PS-2011
Lepidoptera sp. 067 PS-2011
Lepidoptera sp. 068 PS-2011
Lepidoptera sp. 069 PS-2011
Lepidoptera sp. 070 PS-2011
Lepidoptera sp. 071 PS-2011
Lepidoptera sp. 072 PS-2011
Lepidoptera sp. 073 PS-2011
Lepidoptera sp. 074 PS-2011
Lepidoptera sp. 075 PS-2011
Lepidoptera sp. 076 PS-2011
Lepidoptera sp. 077 PS-2011
Lepidoptera sp. 078 PS-2011
Lepidoptera sp. 079 PS-2011
Lepidoptera sp. 080 PS-2011
Lepidoptera sp. 081 PS-2011
Lepidoptera sp. 082 PS-2011
Lepidoptera sp. 083 PS-2011
Lepidoptera sp. 084 PS-2011
Lepidoptera sp. 085 PS-2011
Lepidoptera sp. 086 PS-2011
Lepidoptera sp. 087 PS-2011
Lepidoptera sp. 088 PS-2011
Lepidoptera sp. 089 PS-2011
Lepidoptera sp. 090 PS-2011
Lepidoptera sp. 091 PS-2011
Lepidoptera sp. 092 PS-2011
Lepidoptera sp. 093 PS-2011
Lepidoptera sp. 094 PS-2011
Lepidoptera sp. 095 PS-2011
Lepidoptera sp. 096 PS-2011
Lepidoptera sp. 097 PS-2011
Lepidoptera sp. 098 PS-2011
Lepidoptera sp. 099 PS-2011
Lepidoptera sp. 100 PS-2011
Lepidoptera sp. 101 PS-2011
Lepidoptera sp. 102 PS-2011
Lepidoptera sp. 103 PS-2011
Lepidoptera sp. 104 PS-2011
Lepidoptera sp. 105 PS-2011
Lepidoptera sp. 106 PS-2011
Lepidoptera sp. 107 PS-2011
Lepidoptera sp. 108 PS-2011
Lepidoptera sp. 109 PS-2011
Lepidoptera sp. 110 PS-2011
Lepidoptera sp. 111 PS-2011
Lepidoptera sp. 112 PS-2011
Lepidoptera sp. 113 PS-2011
Lepidoptera sp. 114 PS-2011
Lepidoptera sp. 115 PS-2011
Lepidoptera sp. 116 PS-2011
Lepidoptera sp. 117 PS-2011
Lepidoptera sp. 118 PS-2011
Lepidoptera sp. 119 PS-2011
Lepidoptera sp. 120 PS-2011
Lepidoptera sp. 122 PS-2011
Lepidoptera sp. 123 PS-2011
Lepidoptera sp. 124 PS-2011
Lepidoptera sp. 125 PS-2011
Lepidoptera sp. 126 PS-2011
Lepidoptera sp. 127 PS-2011
Lepidoptera sp. 128 PS-2011
Lepidoptera sp. 129 PS-2011
Lepidoptera sp. 130 PS-2011
Lepidoptera sp. 131 PS-2011
Lepidoptera sp. 132 PS-2011
Lepidoptera sp. 133 PS-2011
Lepidoptera sp. 134 PS-2011
Lepidoptera sp. 135 PS-2011
Lepidoptera sp. 136 PS-2011
Lepidoptera sp. 137 PS-2011
Lepidoptera sp. 138 PS-2011
Lepidoptera sp. 139 PS-2011
Lepidoptera sp. 140 PS-2011
Lepidoptera sp. 141 PS-2011
Lepidoptera sp. BOLD:AAA1770
Lepidoptera sp. BOLD:AAA3449
Lepidoptera sp. BOLD:AAA4628
Lepidoptera sp. BOLD:AAA4751
Lepidoptera sp. BOLD:AAA5471
